group,rank,team,slug,club,club_slug,region,team_depth,team_depth_label,cpi,movement,games_tracked,latest_tournament,latest_record,ranking_flags,manual_review_note,issue_types,recommended_action,same_group_possible_duplicate_matches,same_club_other_teams_in_group,quiksilver_old_rank,quiksilver_new_rank,quiksilver_weight,logo,team_page,club_page,manual_decision,approved_canonical_team,approved_canonical_club,notes
16U Boys,20,La Jolla United,la-jolla-united-16u-boys,La Jolla United,la-jolla-united,San Diego,1,primary/A-level,1785.0,0,10,Quiksilver Cup,4 of 18,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_new_team_candidate_conflict|quiksilver_cup_2026_provisional_entry|identity_review|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|provisional_or_identity_review|quiksilver_evidence_review|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable. Resolve before post-JO recalibration if possible.,La Jolla United Gold #46 (la-jolla-united-gold-16u-boys); LA Jolla United White #55 (la-jolla-united-white-16u-boys); LA Jolla United Silver #78 (la-jolla-united-silver-16u-boys),La Jolla United Gold #46 depth=2; LA Jolla United White #55 depth=3; LA Jolla United Silver #78 depth=3,,,,assets/logos/canonical/la-jolla-united.webp,team.html?team=la-jolla-united-16u-boys,club.html?club=la-jolla-united,,,,
16U Boys,21,OCWPC Blue,ocwpc-blue-16u-boys,OCWPC,ocwpc,Orange County,1,primary/A-level,1764.6,-2,13,SOPAC JO Quals,3-2,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/ocwpc.webp,team.html?team=ocwpc-blue-16u-boys,club.html?club=ocwpc,,,,
16U Boys,22,Aetos,aetos-16u-boys,Aetos,aetos,Orange County,1,primary/A-level,1756.5,-2,9,Futures Super Finals,3-1,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/aetos.webp,team.html?team=aetos-16u-boys,club.html?club=aetos,,,,
16U Boys,23,Thunder,thunder-16u-boys,Thunder,thunder,Out of State,1,primary/A-level,1754.5,-2,5,Futures Super Finals,3-2,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,official_logo_needed|quiksilver_evidence_review,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/thunder.webp,team.html?team=thunder-16u-boys,club.html?club=thunder,,,,
16U Boys,24,Commerce,commerce-16u-boys,Commerce,commerce,Los Angeles,1,primary/A-level,1754.5,-2,8,Quiksilver Cup,17 of 18,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/commerce.webp,team.html?team=commerce-16u-boys,club.html?club=commerce,,,,
16U Boys,25,Vanguard Blue,vanguard-blue-16u-boys,Vanguard,vanguard,Orange County,2,secondary/B-level,1754.5,-2,20,SOPAC JO Quals,3-1,manual_review_depth_guardrail|manual_review_top25_depth_team|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,Vanguard #3 (vanguard-16u-boys); Vanguard Silver #53 (vanguard-silver-16u-boys); Vanguard White #76 (vanguard-white-16u-boys),Vanguard #3 depth=1; Vanguard Silver #53 depth=3; Vanguard White #76 depth=3,,,,assets/logos/canonical/vanguard.webp,team.html?team=vanguard-blue-16u-boys,club.html?club=vanguard,,,,
16U Boys,26,Trojan B,trojan-b-16u-boys,Trojan,trojan,Los Angeles,2,secondary/B-level,1752.8,-2,19,Futures Super Finals,1-3,manual_review_depth_guardrail|manual_review_top25_depth_team|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,Trojan #8 (trojan-16u-boys); Trojan C #79 (trojan-c-16u-boys),Trojan #8 depth=1; Trojan C #79 depth=3,,,,assets/logos/canonical/trojan.webp,team.html?team=trojan-b-16u-boys,club.html?club=trojan,,,,
16U Boys,27,CDM,cdm-16u-boys,CDM,cdm,Orange County,1,primary/A-level,1736.3,-1,5,SOPAC JO Quals,3-2,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/cdm.webp,team.html?team=cdm-16u-boys,club.html?club=cdm,,,,
16U Boys,28,680 A,680-a-16u-boys,680,680,East Bay,1,primary/A-level,1727.5,-1,7,Quiksilver Cup,12 of 18,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/680.webp,team.html?team=680-a-16u-boys,club.html?club=680,,,,
16U Boys,29,Palos Verdes,palos-verdes-16u-boys,Palos Verdes,palos-verdes,Los Angeles,1,primary/A-level,1716.2,-1,11,CCA JO Quals,1-2,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,Palos Verdes B #54 (palos-verdes-b-16u-boys),Palos Verdes B #54 depth=2,,,,assets/logos/canonical/palos-verdes.webp,team.html?team=palos-verdes-16u-boys,club.html?club=palos-verdes,,,,
16U Boys,30,SHAQ,shaq-16u-boys,SHAQ,shaq,Peninsula / San Francisco,1,primary/A-level,1713.0,-1,8,Futures Super Finals,2-2,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/shaq.webp,team.html?team=shaq-16u-boys,club.html?club=shaq,,,,
16U Boys,31,Sand Canyon A,sand-canyon-a-16u-boys,Sand Canyon,sand-canyon,Orange County,1,primary/A-level,1709.5,-1,5,Quiksilver Cup,10 of 18,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,Sand Canyon #41 (sand-canyon-16u-boys),Sand Canyon #41 depth=1,,,,assets/logos/canonical/sand-canyon.webp,team.html?team=sand-canyon-a-16u-boys,club.html?club=sand-canyon,,,,
16U Boys,32,CC United,cc-united-16u-boys,CC United,cc-united,East Bay,1,primary/A-level,1699.1,-1,11,Quiksilver Cup,13 of 18,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,CC United Blue #43 (cc-united-blue-16u-boys),CC United Blue #43 depth=2,,,,assets/logos/canonical/cc-united.webp,team.html?team=cc-united-16u-boys,club.html?club=cc-united,,,,
16U Boys,33,Supreme,supreme-16u-boys,Supreme,supreme,Los Angeles,1,primary/A-level,1694.1,-1,13,Futures Super Finals,3-0,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/supreme.webp,team.html?team=supreme-16u-boys,club.html?club=supreme,,,,
16U Boys,34,Asphalt Green,asphalt-green-16u-boys,Asphalt Green,asphalt-green,Out of State,1,primary/A-level,1693.1,-1,8,Futures Super Finals,3-1,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,official_logo_needed|quiksilver_evidence_review,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/asphalt-green.webp,team.html?team=asphalt-green-16u-boys,club.html?club=asphalt-green,,,,
16U Boys,35,Back Bay,back-bay-16u-boys,Back Bay,back-bay,Orange County,1,primary/A-level,1690.7,-1,12,Futures Super Finals,2-1,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/back-bay.webp,team.html?team=back-bay-16u-boys,club.html?club=back-bay,,,,
16U Boys,36,Monarch WPC,monarch-wpc-16u-boys,Monarch WPC,monarch-wpc,Central Valley,1,primary/A-level,1690.6,-1,6,,0-0,manual_review_d2_tier_guardrail|manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,official_logo_needed|quiksilver_evidence_review,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/monarch-wpc.webp,team.html?team=monarch-wpc-16u-boys,club.html?club=monarch-wpc,,,,
16U Boys,37,CMAC,cmac-16u-boys,CMAC,cmac,Orange County,1,primary/A-level,1689.6,-1,22,Futures Super Finals,2-2,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,official_logo_needed|quiksilver_evidence_review,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/cmac.webp,team.html?team=cmac-16u-boys,club.html?club=cmac,,,,
16U Boys,38,SoCal,socal-16u-boys,SoCal,socal,Orange County,1,primary/A-level,1665.0,-1,9,SOPAC JO Quals,2-3,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/socal.webp,team.html?team=socal-16u-boys,club.html?club=socal,,,,
16U Boys,39,CT Premier,ct-premier-16u-boys,CT Premier,ct-premier,Out of State,1,primary/A-level,1660.6,-1,9,Futures Super Finals,2-2,manual_review_d2_tier_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,official_logo_needed|quiksilver_evidence_review,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/ct-premier.webp,team.html?team=ct-premier-16u-boys,club.html?club=ct-premier,,,,
16U Boys,40,BOA,boa-16u-boys,BOA,boa,Orange County,1,primary/A-level,1659.2,-1,5,,0-0,manual_review_d2_tier_guardrail|manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,official_logo_needed|quiksilver_evidence_review,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/boa.webp,team.html?team=boa-16u-boys,club.html?club=boa,,,,
16U Boys,41,Sand Canyon,sand-canyon-16u-boys,Sand Canyon,sand-canyon,Orange County,1,primary/A-level,1650.1,-1,8,,0-0,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,Sand Canyon A #31 (sand-canyon-a-16u-boys),Sand Canyon A #31 depth=1,,,,assets/logos/canonical/sand-canyon.webp,team.html?team=sand-canyon-16u-boys,club.html?club=sand-canyon,,,,
16U Boys,42,Stanford B,stanford-b-16u-boys,Stanford,stanford,Peninsula / San Francisco,2,secondary/B-level,1650.1,-1,8,Futures Super Finals,3-1,manual_review_depth_guardrail|manual_review_d2_tier_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,Stanford A #6 (stanford-a-16u-boys),Stanford A #6 depth=1,,,,assets/logos/canonical/stanford.webp,team.html?team=stanford-b-16u-boys,club.html?club=stanford,,,,
16U Boys,43,CC United Blue,cc-united-blue-16u-boys,CC United,cc-united,East Bay,2,secondary/B-level,1648.5,-1,7,Newport Spring Invite,3-0,manual_review_depth_guardrail|manual_review_d2_tier_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,CC United #32 (cc-united-16u-boys),CC United #32 depth=1,,,,assets/logos/canonical/cc-united.webp,team.html?team=cc-united-blue-16u-boys,club.html?club=cc-united,,,,
16U Boys,44,CHAWP B,chawp-b-16u-boys,CHAWP,chawp,Inland Empire,2,secondary/B-level,1648.3,-1,8,SOPAC JO Quals,2-2,manual_review_depth_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,lower_depth_above_primary_same_club|possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm whether this lower-depth team should rank above the club primary team. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,CHAWP #67 (chawp-16u-boys),CHAWP #67 depth=1,,,,assets/logos/canonical/chawp.webp,team.html?team=chawp-b-16u-boys,club.html?club=chawp,,,,
16U Boys,45,Trilogy,trilogy-16u-boys,Trilogy,trilogy,San Diego,1,primary/A-level,1638.7,-1,7,Futures Super Finals,2-1,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,official_logo_needed|quiksilver_evidence_review,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/trilogy.webp,team.html?team=trilogy-16u-boys,club.html?club=trilogy,,,,
16U Boys,46,La Jolla United Gold,la-jolla-united-gold-16u-boys,La Jolla United,la-jolla-united,San Diego,2,secondary/B-level,1637.4,-1,8,Quiksilver Cup,7 of 18,manual_review_depth_guardrail|manual_review_d2_tier_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_alias_corrected_7_29|quiksilver_cup_2026_lightweight_adjustment,7.29 alias cleanup maps Quiksilver La Jolla Gold to this entry; plain La Jolla United remains a separate review candidate.,manual_review_note_present|possible_duplicate_team_name|provisional_or_identity_review|quiksilver_evidence_review|same_club_depth_collision|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable. Resolve before post-JO recalibration if possible.,La Jolla United #20 (la-jolla-united-16u-boys); LA Jolla United White #55 (la-jolla-united-white-16u-boys); LA Jolla United Silver #78 (la-jolla-united-silver-16u-boys),La Jolla United #20 depth=1; LA Jolla United White #55 depth=3; LA Jolla United Silver #78 depth=3,,,,assets/logos/canonical/la-jolla-united.webp,team.html?team=la-jolla-united-gold-16u-boys,club.html?club=la-jolla-united,,,,
16U Boys,47,Foothill,foothill-16u-boys,Foothill,foothill,Orange County,1,primary/A-level,1630.6,-1,11,CCA JO Quals,2-2,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/foothill.webp,team.html?team=foothill-16u-boys,club.html?club=foothill,,,,
16U Boys,48,SD ECA,sd-eca-16u-boys,SD ECA,sd-eca,San Diego,1,primary/A-level,1626.4,-1,12,K7 Cup,3-5,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,official_logo_needed|quiksilver_evidence_review,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/sd-eca.webp,team.html?team=sd-eca-16u-boys,club.html?club=sd-eca,,,,
16U Boys,49,SD Dons,sd-dons-16u-boys,SD Dons,sd-dons,San Diego,1,primary/A-level,1611.9,-1,7,Futures Super Finals,1-2,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/sd-dons.webp,team.html?team=sd-dons-16u-boys,club.html?club=sd-dons,,,,
16U Boys,50,LV Legends,lv-legends-16u-boys,LV Legends,lv-legends,Los Angeles,1,primary/A-level,1608.6,-1,9,CCA JO Quals,2-3,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,official_logo_needed|quiksilver_evidence_review,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/lv-legends.webp,team.html?team=lv-legends-16u-boys,club.html?club=lv-legends,,,,
